Datum,Den,Typ,Název,Cena
25.8.2025,Pondělí,Polévka,Zelná s domácím uzeným masem,55
25.8.2025,Pondělí,Hlavní,"Vepřové výpečky, dušené zelí, houskový knedlík",175
25.8.2025,Pondělí,Hlavní,Kachní Pad Thai,235
25.8.2025,Pondělí,Hlavní,Sýrová quesadilla s křehkou zeleninou a zakysanou smetanou,185
26.8.2025,Úterý,Polévka,Japonská miso polévka s tofu,85
26.8.2025,Úterý,Hlavní,"Domácí sekaná s bramborovou kaší, okurkový salát",165
26.8.2025,Úterý,Hlavní,Kachní Pad Thai,235
26.8.2025,Úterý,Hlavní,Sýrová quesadilla s křehkou zeleninou a zakysanou smetanou,185
27.8.2025,Středa,Polévka,Kulajda,55
27.8.2025,Středa,Hlavní,"Kuřecí Cordon Bleu s bramborovou kaší, okurkový salát",185
27.8.2025,Středa,Hlavní,Kachní Pad Thai,235
27.8.2025,Středa,Hlavní,Sýrová quesadilla s křehkou zeleninou a zakysanou smetanou,185
28.8.2025,Čtvrtek,Polévka,Gulášová,55
28.8.2025,Čtvrtek,Hlavní,"Grilované kuřecí prso s rajčatovým pestem, krémové parmazánové risotto",195
28.8.2025,Čtvrtek,Hlavní,Kachní Pad Thai,235
28.8.2025,Čtvrtek,Hlavní,Sýrová quesadilla s křehkou zeleninou a zakysanou smetanou,185
29.8.2025,Pátek,Polévka,Slepičí vývar s masem a nudlemi,85
29.8.2025,Pátek,Hlavní,Špagety aglio olio s hovězí tagliatou a parmazánem,195
29.8.2025,Pátek,Hlavní,Kachní Pad Thai,235
29.8.2025,Pátek,Hlavní,Sýrová quesadilla s křehkou zeleninou a zakysanou smetanou,185